Quantity,References,Value,Description,Manufacturer,Part Number,Vendor,Vendor Part Number
1,U3,ATWINC1500-MR210UB,"MODULE, SMD, WiFi, u.FL connector",Microchip,ATWINC1500-MR210UB1140,Mouser,579-C1500MR210UB1140
1,U4,SAMD21G18-M,"IC, QFN44, MCU, ARM, 256kB Flash, 32kB SRAM, 48MHz",Microchip,ATSAMD21G18A-MUT,Mouser,556-ATSAMD21G18A-MUT
1,U5,74LVC2G07,"IC, SOT-23-6, Dual Buffer with Open-Drain Outputs",Texas Instruments,SN74LVC2G07DBVR,Mouser,595-SN74LVC2G07DBVR
1,U6,74LVC2G06,"IC, SOT-23-6, Dual Inverter with Open-Drain Outputs",Texas Instruments,SN74LVC2G06DBVR,Mouser,595-SN74LVC2G06DBVR
12,U7 U8 U9 U10 U13 U14 U15 U16 U17 U18 U19 U20,TPS3779,"IC, SOT-23-6, Dual Voltage Detector",Texas Instruments,TPS3779BDBVR,Mouser,595-TPS3779BDBVR
1,U11,TCA6424A,"IC, QFN-32, I2C IO Expander",Texas Instruments,TCA6424ARGJR,Mouser,595-TCA6424ARGJR
1,U12,REF3330,"IC, SOT-23, Voltage Reference, 3.0V, 30ppm",Texas Instruments,REF3330AIDBZR,Mouser,595-REF3330AIDBZR
1,U22,LP5024,"IC, QFN-32, 24-Channel, I2C LED Driver",Texas Instruments,LP5024RSMR,Mouser,595-LP5024RSMR
1,U23,TCA6408A,"IC, VQFN-16, I2C IO Expander",Texas Instruments,TCA6408ARGTR,Mouser,595-TCA6408ARGTR
1,U24,ITS4075Q,"IC, PG-TSDSO-14, 4-Channel, High-Side Power Switch",Infineon,ITS4075Q-EP-DXUMA1,Mouser,726-ITS4075QEPDXUMA1
1,U25,74LVC2G17,"IC, SOT-23-6, Dual Schmitt-Trigger Buffer",Texas Instruments,SN74LVC2G17DBVR,Mouser,595-SN74LVC2G17DBVR
1,U26,REF3325,"IC, SOT-23, Voltage Reference, 2.5V, 30ppm",Texas Instruments,REF3325AIDBZR,Mouser,595-REF3325AIDBZR
1,Y1,32.768kHz,"XTL, SMD, 32.768kHz",Abracon,ABS07-32.768KHZ-9-T,Mouser,815-ABS07-32.768K9T
1,Z1,10V,"Zener, 10V, SOT-23",On Semiconductor,SZBZX84C10LT1G,Mouser,863-SZBZX84C10LT1G
1,Z2,2.7V,"Zener, 2.5V, SOT-23",On Semiconductor,SZBZX84C2V7LT1G,Mouser,863-SZBZX84C2V7LT1G
